"","Occupation","Category","WomenAverageAnnualSalary","MenAverageAnnualSalary","PayGap","PayGapAsAPercentage","Country","Currency","WomenAverageAnnualSalaryEUR","MenAverageAnnualSalaryEUR","salaryGapEUR"
"223","Print assistants","manual work",16120,23547,7427,0.4607,"UK","UKP",18860.4,27549.99,8689.59
"224","Construction manager","manual work",23216,34799,11583,0.4989,"UK","UKP",27162.72,40714.83,13552.11
"225","Skilled agricultural","manual work",15138,18305,3167,0.2092,"UK","UKP",17711.46,21416.85,3705.39
"226","Textiles & printing","manual work",12949,18769,5820,0.4495,"UK","UKP",15150.33,21959.73,6809.4
"227","Furniture makers","manual work",20081,20276,195,0.0097,"UK","UKP",23494.77,23722.92,228.150000000001
"228","Crafts & decorators","manual work",15287,20457,5170,0.3382,"UK","UKP",17885.79,23934.69,6048.9
"229","Skilled trades","manual work",14754,20684,5930,0.4019,"UK","UKP",17262.18,24200.28,6938.1
"230","Printing & binding","manual work",14190,20927,6737,0.4748,"UK","UKP",16602.3,24484.59,7882.29
"231","Textiles","manual work",12938,21862,8924,0.6898,"UK","UKP",15137.46,25578.54,10441.08
"232","Leatherwork","manual work",14146,22779,8633,0.6103,"UK","UKP",16550.82,26651.43,10100.61
"233","Printing trades","manual work",14734,23569,8835,0.5996,"UK","UKP",17238.78,27575.73,10336.95
"234","Metalwork","manual work",15074,25544,10470,0.6946,"UK","UKP",17636.58,29886.48,12249.9
"235","Instrument making","manual work",17952,28088,10136,0.5646,"UK","UKP",21003.84,32862.96,11859.12
"236","Electrical trades","manual work",23358,28238,4880,0.2089,"UK","UKP",27328.86,33038.46,5709.6
"237","Electricians","manual work",24102,29666,5564,0.2309,"UK","UKP",28199.34,34709.22,6509.88
"238","Trade supervisors","manual work",27448,33642,6194,0.2257,"UK","UKP",32114.16,39361.14,7246.98
"239","Sales & serving others","sales & serving others",18469,22765,4296,0.2812,"UK","UKP",21608.73,26635.05,5026.32
"240","Caretakers","sales & serving others",12680,17532,4852,0.3826,"UK","UKP",14835.6,20512.44,5676.84
"241","Insurance clerks","sales & serving others",18654,21374,2720,0.1458,"UK","UKP",21825.18,25007.58,3182.4
"242","Bank & post office","sales & serving others",16533,21590,5057,0.3059,"UK","UKP",19343.61,25260.3,5916.69
"243","Careers advisors","sales & serving others",22207,25789,3582,0.1613,"UK","UKP",25982.19,30173.13,4190.94
"244","Vocational trainers","sales & serving others",22706,27341,4635,0.2041,"UK","UKP",26566.02,31988.97,5422.95
"245","Marketing associates","sales & serving others",23725,29316,5591,0.2357,"UK","UKP",27758.25,34299.72,6541.47
"246","Public services","sales & serving others",25287,30302,5015,0.1983,"UK","UKP",29585.79,35453.34,5867.55
"247","Fire service","sales & serving others",29782,30968,1186,0.0398,"UK","UKP",34844.94,36232.56,1387.62
"248","Buyers","sales & serving others",27010,32851,5841,0.2163,"UK","UKP",31601.7,38435.67,6833.97
"249","Health & safety","sales & serving others",29837,34421,4584,0.1536,"UK","UKP",34909.29,40272.57,5363.28
"250","Insurance","sales & serving others",28208,35113,6905,0.2448,"UK","UKP",33003.36,41082.21,8078.85
"251","Sales & marketing","sales & serving others",28000,38261,10261,0.3665,"UK","UKP",32760,44765.37,12005.37
"252","Accounts managers","sales & serving others",28360,42512,14152,0.499,"UK","UKP",33181.2,49739.04,16557.84
"253","Sales accounts","sales & serving others",35449,45359,9910,0.2796,"UK","UKP",41475.33,53070.03,11594.7
"254","Housekeeping","sales & serving others",11330,17101,5771,0.5094,"UK","UKP",13256.1,20008.17,6752.07
"255","Undertakers","sales & serving others",15672,17586,1914,0.1221,"UK","UKP",18336.24,20575.62,2239.38
"256","Cleaning managers","sales & serving others",12292,18490,6198,0.5042,"UK","UKP",14381.64,21633.3,7251.66
"257","Leisure & travel","sales & serving others",14308,18941,4633,0.3238,"UK","UKP",16740.36,22160.97,5420.61
"258","Travel agents","sales & serving others",14974,22505,7531,0.5029,"UK","UKP",17519.58,26330.85,8811.27
